"cod_ibge","tipo","sexo","n"
211220,"45 a 49 anos","Homem",3452
211220,"40 a 44 anos","Homem",4274
211220,"35 a 39 anos","Homem",4939
211220,"30 a 34 anos","Homem",6284
211220,"25 a 29 anos","Homem",7207
211220,"20 a 24 anos","Homem",7799
211220,"15 a 19 anos","Homem",7408
211220,"10 a 14 anos","Homem",8421
211220,"5 a 9 anos","Homem",7684
211220,"0 a 4 anos","Homem",7008
211210,"Mais de 100 anos","Homem",3
211210,"95 a 99 anos","Homem",11
211210,"90 a 94 anos","Homem",40
211210,"85 a 89 anos","Homem",46
211210,"80 a 84 anos","Homem",83
211210,"75 a 79 anos","Homem",178
211210,"70 a 74 anos","Homem",242
211210,"65 a 69 anos","Homem",302
211210,"60 a 64 anos","Homem",367
211210,"55 a 59 anos","Homem",483
211210,"50 a 54 anos","Homem",523
211210,"45 a 49 anos","Homem",682
211210,"40 a 44 anos","Homem",624
211210,"35 a 39 anos","Homem",763
211210,"30 a 34 anos","Homem",837
211210,"25 a 29 anos","Homem",1137
211210,"20 a 24 anos","Homem",1383
211210,"15 a 19 anos","Homem",1637
211210,"10 a 14 anos","Homem",1727
211210,"5 a 9 anos","Homem",1583
211210,"0 a 4 anos","Homem",1441
211200,"Mais de 100 anos","Homem",NA
211200,"95 a 99 anos","Homem",NA
211200,"90 a 94 anos","Homem",5
211200,"85 a 89 anos","Homem",7
211200,"80 a 84 anos","Homem",25
211200,"75 a 79 anos","Homem",32
211200,"70 a 74 anos","Homem",58
211200,"65 a 69 anos","Homem",81
211200,"60 a 64 anos","Homem",111
211200,"55 a 59 anos","Homem",131
211200,"50 a 54 anos","Homem",148
211200,"45 a 49 anos","Homem",197
211200,"40 a 44 anos","Homem",185
211200,"35 a 39 anos","Homem",196
211200,"30 a 34 anos","Homem",240
211200,"25 a 29 anos","Homem",342
211200,"20 a 24 anos","Homem",382
211200,"15 a 19 anos","Homem",449
211200,"10 a 14 anos","Homem",490
211200,"5 a 9 anos","Homem",448
211200,"0 a 4 anos","Homem",446
211195,"Mais de 100 anos","Homem",NA
211195,"95 a 99 anos","Homem",NA
211195,"90 a 94 anos","Homem",3
211195,"85 a 89 anos","Homem",11
211195,"80 a 84 anos","Homem",20
211195,"75 a 79 anos","Homem",41
211195,"70 a 74 anos","Homem",58
211195,"65 a 69 anos","Homem",55
211195,"60 a 64 anos","Homem",77
211195,"55 a 59 anos","Homem",91
211195,"50 a 54 anos","Homem",116
211195,"45 a 49 anos","Homem",128
211195,"40 a 44 anos","Homem",134
211195,"35 a 39 anos","Homem",129
211195,"30 a 34 anos","Homem",148
211195,"25 a 29 anos","Homem",144
211195,"20 a 24 anos","Homem",179
211195,"15 a 19 anos","Homem",274
211195,"10 a 14 anos","Homem",289
211195,"5 a 9 anos","Homem",256
211195,"0 a 4 anos","Homem",219
211190,"Mais de 100 anos","Homem",NA
211190,"95 a 99 anos","Homem",3
211190,"90 a 94 anos","Homem",9
211190,"85 a 89 anos","Homem",21
211190,"80 a 84 anos","Homem",53
211190,"75 a 79 anos","Homem",79
211190,"70 a 74 anos","Homem",95
211190,"65 a 69 anos","Homem",123
211190,"60 a 64 anos","Homem",160
211190,"55 a 59 anos","Homem",186
211190,"50 a 54 anos","Homem",220
211190,"45 a 49 anos","Homem",289
211190,"40 a 44 anos","Homem",282
211190,"35 a 39 anos","Homem",297
211190,"30 a 34 anos","Homem",337
211190,"25 a 29 anos","Homem",430
211190,"20 a 24 anos","Homem",525
211190,"15 a 19 anos","Homem",606
211190,"10 a 14 anos","Homem",597
211190,"5 a 9 anos","Homem",523
211190,"0 a 4 anos","Homem",502
211180,"Mais de 100 anos","Homem",NA
211180,"95 a 99 anos","Homem",5
211180,"90 a 94 anos","Homem",13
211180,"85 a 89 anos","Homem",30
211180,"80 a 84 anos","Homem",40
211180,"75 a 79 anos","Homem",103
211180,"70 a 74 anos","Homem",158
211180,"65 a 69 anos","Homem",196
211180,"60 a 64 anos","Homem",270
211180,"55 a 59 anos","Homem",248
211180,"50 a 54 anos","Homem",340
211180,"45 a 49 anos","Homem",427
211180,"40 a 44 anos","Homem",525
211180,"35 a 39 anos","Homem",585
211180,"30 a 34 anos","Homem",615
211180,"25 a 29 anos","Homem",720
211180,"20 a 24 anos","Homem",814
211180,"15 a 19 anos","Homem",1022
211180,"10 a 14 anos","Homem",1078
211180,"5 a 9 anos","Homem",873
211180,"0 a 4 anos","Homem",880
211178,"Mais de 100 anos","Homem",1
211178,"95 a 99 anos","Homem",2
211178,"90 a 94 anos","Homem",6
211178,"85 a 89 anos","Homem",17
211178,"80 a 84 anos","Homem",41
211178,"75 a 79 anos","Homem",53
211178,"70 a 74 anos","Homem",89
211178,"65 a 69 anos","Homem",135
211178,"60 a 64 anos","Homem",165
211178,"55 a 59 anos","Homem",208
211178,"50 a 54 anos","Homem",200
211178,"45 a 49 anos","Homem",236
211178,"40 a 44 anos","Homem",250
211178,"35 a 39 anos","Homem",341
211178,"30 a 34 anos","Homem",388
211178,"25 a 29 anos","Homem",482
211178,"20 a 24 anos","Homem",505
211178,"15 a 19 anos","Homem",617
211178,"10 a 14 anos","Homem",736
211178,"5 a 9 anos","Homem",733
211178,"0 a 4 anos","Homem",646
211176,"Mais de 100 anos","Homem",NA
211176,"95 a 99 anos","Homem",2
211176,"90 a 94 anos","Homem",16
211176,"85 a 89 anos","Homem",30
211176,"80 a 84 anos","Homem",74
211176,"75 a 79 anos","Homem",133
211176,"70 a 74 anos","Homem",197
211176,"65 a 69 anos","Homem",246
211176,"60 a 64 anos","Homem",263
211176,"55 a 59 anos","Homem",294
211176,"50 a 54 anos","Homem",346
211176,"45 a 49 anos","Homem",362
211176,"40 a 44 anos","Homem",426
211176,"35 a 39 anos","Homem",527
211176,"30 a 34 anos","Homem",617
211176,"25 a 29 anos","Homem",725
211176,"20 a 24 anos","Homem",800
211176,"15 a 19 anos","Homem",936
211176,"10 a 14 anos","Homem",1089
211176,"5 a 9 anos","Homem",1055
211176,"0 a 4 anos","Homem",922
211174,"Mais de 100 anos","Homem",NA
211174,"95 a 99 anos","Homem",5
211174,"90 a 94 anos","Homem",17
211174,"85 a 89 anos","Homem",19
211174,"80 a 84 anos","Homem",35
211174,"75 a 79 anos","Homem",59
211174,"70 a 74 anos","Homem",72
211174,"65 a 69 anos","Homem",131
211174,"60 a 64 anos","Homem",159
211174,"55 a 59 anos","Homem",175
211174,"50 a 54 anos","Homem",173
211174,"45 a 49 anos","Homem",230
211174,"40 a 44 anos","Homem",233
211174,"35 a 39 anos","Homem",267
211174,"30 a 34 anos","Homem",318
211174,"25 a 29 anos","Homem",359
211174,"20 a 24 anos","Homem",506
211174,"15 a 19 anos","Homem",597
211174,"10 a 14 anos","Homem",619
211174,"5 a 9 anos","Homem",571
211174,"0 a 4 anos","Homem",577
211172,"Mais de 100 anos","Homem",NA
211172,"95 a 99 anos","Homem",1
211172,"90 a 94 anos","Homem",7
211172,"85 a 89 anos","Homem",19
211172,"80 a 84 anos","Homem",40
211172,"75 a 79 anos","Homem",50
211172,"70 a 74 anos","Homem",91
211172,"65 a 69 anos","Homem",103
211172,"60 a 64 anos","Homem",131
211172,"55 a 59 anos","Homem",150
211172,"50 a 54 anos","Homem",188
211172,"45 a 49 anos","Homem",238
211172,"40 a 44 anos","Homem",285
211172,"35 a 39 anos","Homem",380
211172,"30 a 34 anos","Homem",456
211172,"25 a 29 anos","Homem",548
211172,"20 a 24 anos","Homem",587
211172,"15 a 19 anos","Homem",674
211172,"10 a 14 anos","Homem",787
211172,"5 a 9 anos","Homem",738
211172,"0 a 4 anos","Homem",697
211170,"Mais de 100 anos","Homem",3
211170,"95 a 99 anos","Homem",5
211170,"90 a 94 anos","Homem",20
211170,"85 a 89 anos","Homem",27
211170,"80 a 84 anos","Homem",75
211170,"75 a 79 anos","Homem",141
211170,"70 a 74 anos","Homem",202
211170,"65 a 69 anos","Homem",211
211170,"60 a 64 anos","Homem",268
211170,"55 a 59 anos","Homem",314
211170,"50 a 54 anos","Homem",392
211170,"45 a 49 anos","Homem",461
211170,"40 a 44 anos","Homem",539
211170,"35 a 39 anos","Homem",614
